,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Smidovich,RU,48.6,133.8167,13.91,98,100,1.95,overcast clouds
332,Erenhot,CN,43.6475,111.9767,21.51,77,2,2.98,clear sky
333,Yamada,JP,39.4667,141.95,37.13,75,5,6.51,clear sky
334,Merrill,US,45.1805,-89.6835,30.92,93,90,3.44,light snow
335,Aklavik,CA,68.2191,-135.0107,-10.37,86,3,8.03,clear sky
336,Cabo San Lucas,MX,22.8909,-109.9124,82.06,49,75,1.01,broken clouds
337,Mpanda,TZ,-6.3655,31.0409,66.52,85,92,0.34,overcast clouds
338,Desaguadero,PE,-16.5656,-69.0417,53.04,60,100,11.25,overcast clouds
339,Igrim,RU,63.1906,64.4162,-17.54,99,30,2.59,scattered clouds
340,Hailey,US,43.5196,-114.3153,48.06,27,1,17.27,clear sky
341,Mairipora,BR,-23.3186,-46.5867,71.56,78,90,8.05,overcast clouds
342,Koutiala,ML,12.3917,-5.4642,78.84,13,26,8.46,scattered clouds
343,Korhogo,CI,9.45,-5.6333,77.63,20,1,2.89,clear sky
344,Shieli,KZ,44.1667,66.75,41.02,71,100,4.72,light rain
345,Praxedis Guerrero,MX,31.3667,-106.0167,73.42,16,0,13.2,clear sky
346,Almaznyy,RU,48.0448,40.045,33.94,96,100,5.5,overcast clouds
347,Strezhevoy,RU,60.7333,77.5889,1.38,98,100,4.56,overcast clouds
348,Basco,PH,20.4487,121.9702,74.71,73,72,22.01,broken clouds
349,Marrakesh,MA,31.6315,-8.0083,51.87,58,0,4.61,clear sky
350,Itarema,BR,-2.9248,-39.9167,80.91,80,8,16.6,clear sky
351,Kolpashevo,RU,58.3131,82.9089,29.97,94,100,12.08,light snow
352,Gaborone,BW,-24.6545,25.9086,66.99,91,98,4.88,light rain
353,Great Yarmouth,GB,52.6083,1.7305,43.05,73,90,13.38,overcast clouds
354,Lircay,PE,-12.9896,-74.7205,54.14,87,100,3.83,overcast clouds
355,Provideniya,RU,64.3833,-173.3,30.36,93,90,22.37,snow
356,Cumaral,CO,4.2708,-73.4867,80.11,75,100,2.26,overcast clouds
357,San Pedro,PH,14.35,121.0167,72.63,79,20,4.61,few clouds
358,Cam Ranh,VN,11.9214,109.1591,73.36,73,40,10.36,scattered clouds
359,Smirnykh,RU,49.75,142.8333,12.43,96,16,2.24,few clouds
360,Iquique,CL,-20.2208,-70.1431,66.24,73,28,1.72,scattered clouds
361,Qaqortoq,GL,60.7167,-46.0333,27.1,79,100,30.6,overcast clouds
362,Cap Malheureux,MU,-19.9842,57.6142,78.48,69,4,4.0,clear sky
363,Ercis,TR,39.0287,43.3586,28.0,67,100,2.91,overcast clouds
364,Kautokeino,NO,69.0125,23.0412,-23.15,100,99,5.21,overcast clouds
365,Kloulklubed,PW,7.0419,134.2556,77.5,76,100,9.48,overcast clouds
366,Unai,BR,-16.3575,-46.9061,73.26,85,31,2.62,scattered clouds
367,Anchorage,US,61.2181,-149.9003,24.31,85,90,1.99,overcast clouds
368,Hovd,MN,48.0056,91.6419,19.51,55,100,1.57,overcast clouds
369,Nantucket,US,41.2835,-70.0995,43.97,61,1,3.44,clear sky
370,Ambon,ID,-3.6954,128.1814,80.74,83,40,12.66,scattered clouds
371,Westport,US,41.1415,-73.3579,44.91,59,1,5.01,clear sky
372,Camacha,PT,33.0833,-16.3333,63.36,59,40,13.8,scattered clouds
373,Balabac,PH,7.9868,117.0645,80.96,75,40,17.67,scattered clouds
374,Makat,KZ,47.6469,53.3463,35.71,65,100,9.13,overcast clouds
375,Longyearbyen,SJ,78.2186,15.6401,13.84,73,75,11.5,broken clouds
376,Gushi,CN,34.6425,109.5843,42.06,49,1,4.72,clear sky
377,Batagay,RU,67.6333,134.6333,-18.78,99,100,1.07,overcast clouds
378,Bucerias,MX,20.75,-105.3333,84.18,61,75,6.91,broken clouds
379,Raudeberg,NO,61.9875,5.1352,35.2,75,100,5.01,overcast clouds
380,Arkadak,RU,51.9326,43.4978,27.7,67,76,5.44,broken clouds
381,Itoman,JP,26.1247,127.6694,66.97,65,20,5.75,few clouds
382,Arkhangelsk,RU,64.5401,40.5433,5.11,92,20,2.24,few clouds
383,Hare Bay,CA,48.8499,-54.0148,29.55,63,92,7.7,overcast clouds
384,Lowestoft,GB,52.4752,1.7516,43.05,93,99,12.21,overcast clouds
385,Qrendi,MT,35.8347,14.4583,59.11,72,40,18.41,scattered clouds
386,Qui Nhon,VN,13.7667,109.2333,68.85,93,100,10.09,overcast clouds
387,Rio Brilhante,BR,-21.8019,-54.5464,87.75,33,48,8.5,scattered clouds
388,Cassia,BR,-20.5831,-46.9219,71.64,82,53,2.77,broken clouds
389,Praia,CV,14.9215,-23.5087,73.94,78,0,18.41,clear sky
390,Vanimo,PG,-2.6741,141.3028,82.29,76,95,5.93,overcast clouds
391,Mogzon,RU,51.7435,111.9606,14.67,79,24,7.36,few clouds
392,Baruun-Urt,MN,46.6806,113.2792,18.1,73,2,7.27,clear sky
393,Warah,PK,27.4481,67.7978,65.19,27,1,4.5,clear sky
394,Kayerkan,RU,69.3497,87.7602,-17.48,75,100,18.66,light snow
395,Pemba,MZ,-12.974,40.5178,81.12,78,38,9.78,scattered clouds
396,Tautira,PF,-17.7333,-149.15,86.02,75,76,16.17,broken clouds
397,Pundaguitan,PH,6.3711,126.1689,80.29,79,88,13.15,overcast clouds
398,Taitung,TW,22.7583,121.1444,62.87,77,40,4.61,scattered clouds
399,Marsa Matruh,EG,31.3525,27.2453,62.8,77,40,10.36,scattered clouds
400,La Orilla,MX,17.9833,-102.2333,83.21,65,56,6.42,broken clouds
401,Okha,RU,53.5739,142.9478,7.97,93,86,6.4,overcast clouds
402,Louis Trichardt,ZA,-23.0439,29.9032,67.03,82,79,8.48,light rain
403,Culpeper,US,38.5004,-77.9664,49.03,50,90,1.99,overcast clouds
404,Vilcun,CL,-38.65,-72.2333,83.14,26,0,8.77,clear sky
405,Teykovo,RU,56.858,40.5369,11.43,90,96,6.24,overcast clouds
406,Gafanha Da Encarnacao,PT,40.6181,-8.733,55.78,78,93,14.81,overcast clouds
407,Bam,IR,29.106,58.357,53.89,40,7,2.73,clear sky
408,Henties Bay,NA,-22.116,14.2845,59.86,90,0,6.69,clear sky
409,Asuncion,PY,-25.3007,-57.6359,89.04,43,0,17.27,clear sky
410,Chickasha,US,35.0526,-97.9364,76.35,38,1,12.66,clear sky
411,Ayagoz,KZ,47.9714,80.4392,17.96,86,88,0.63,overcast clouds
412,Bambanglipuro,ID,-7.95,110.2833,64.6,91,99,5.93,light rain
413,Ahipara,NZ,-35.1667,173.1667,73.62,69,56,9.93,broken clouds
414,West Wendover,US,40.7391,-114.0733,51.01,37,1,12.66,clear sky
415,Vestmannaeyjar,IS,63.4427,-20.2734,45.14,81,100,18.45,overcast clouds
416,Bulawayo,ZW,-20.15,28.5833,73.69,50,95,10.31,overcast clouds
417,Sambava,MG,-14.2667,50.1667,75.45,87,4,10.18,light rain
418,Raposos,BR,-19.9672,-43.8042,78.21,87,73,3.51,broken clouds
419,Humen,CN,22.819,113.6731,60.91,36,21,6.64,few clouds
420,Megion,RU,61.0296,76.1136,1.42,97,97,5.59,overcast clouds
421,Khandbari,NP,27.3747,87.2039,57.76,71,16,3.22,few clouds
422,Rawson,AR,-43.3002,-65.1023,66.38,54,33,14.72,scattered clouds
423,Mareeba,AU,-17.0,145.4333,82.49,71,2,5.3,clear sky
424,Los Banos,PH,14.1667,121.1833,72.09,86,57,7.16,broken clouds
425,Quatre Cocos,MU,-20.2078,57.7625,78.1,70,19,11.92,few clouds
426,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,84,41,3.29,scattered clouds
427,Wembley,AU,-31.9333,115.8,64.69,67,0,12.66,clear sky
428,Lagoa,PT,39.05,-27.9833,63.16,75,80,11.92,broken clouds
429,Kutum,SD,14.2,24.6667,64.72,23,6,8.77,clear sky
430,Tigil,RU,57.8,158.6667,21.38,92,100,20.6,light snow
431,Barzas,RU,55.7167,86.3167,26.83,95,100,12.21,overcast clouds
432,Goksun,TR,38.021,36.4973,31.15,79,1,1.07,clear sky
433,Carmunnock,GB,55.7906,-4.2358,34.68,91,61,1.14,broken clouds
434,Mgandu,TZ,-5.95,34.1333,64.71,71,100,8.05,overcast clouds
435,Redcar,GB,54.6166,-1.06,41.36,82,78,4.05,broken clouds
436,Hirata,JP,35.4333,132.8167,33.82,100,20,6.91,few clouds
437,Jiwani,PK,25.05,61.7417,73.81,46,1,7.23,clear sky
438,Nyrob,RU,60.733,56.7202,-13.9,100,86,1.86,overcast clouds
439,Hervey Bay,AU,-25.2986,152.8535,77.11,89,10,4.0,light rain
440,Pangai,TO,-19.8,-174.35,82.51,69,20,17.27,few clouds
441,Gondar,ET,12.6,37.4667,58.3,33,0,4.12,clear sky
442,Bandarbeyla,SO,9.4942,50.8122,76.33,64,5,16.42,clear sky
443,Uvarovka,RU,55.5278,35.6061,19.6,99,99,2.77,overcast clouds
444,Sabang,ID,5.8933,95.3214,81.16,77,94,14.25,light rain
445,Bonthe,SL,7.5264,-12.505,80.53,80,17,7.34,few clouds
446,Alugan,PH,12.2188,125.4808,78.35,78,64,13.2,broken clouds
447,Riyadh,SA,24.6877,46.7219,55.54,34,4,4.97,clear sky
448,Hollins,US,37.3413,-79.9431,51.82,54,20,4.61,few clouds
449,Rio Grande,BR,-32.035,-52.0986,70.95,78,26,12.37,scattered clouds
450,Kualakapuas,ID,-3.0091,114.3876,77.16,98,96,3.09,overcast clouds
451,Lavrentiya,RU,65.5833,-171.0,29.86,97,100,11.25,snow
452,Nahrin,AF,36.0649,69.1334,40.69,75,7,2.28,clear sky
453,Fortuna,US,40.5982,-124.1573,55.33,93,90,1.01,overcast clouds
454,Tornio,FI,65.8481,24.1466,2.95,97,31,5.12,scattered clouds
455,Aldan,RU,58.6031,125.3894,-1.46,95,100,7.81,overcast clouds
456,Brownwood,US,31.7093,-98.9912,78.12,64,90,19.39,overcast clouds
457,Port Lincoln,AU,-34.7333,135.8667,61.47,69,1,5.73,clear sky
458,Faya,SA,18.3851,42.4509,55.51,70,0,1.79,clear sky
459,Guarapari,BR,-20.6667,-40.4975,78.69,87,49,9.6,scattered clouds
460,Sivas,TR,39.7916,37.0019,34.43,86,0,5.75,clear sky
461,Nhulunbuy,AU,-12.2333,136.7667,84.81,70,69,2.3,broken clouds
462,Osmena,PH,10.5208,119.9258,80.65,70,91,20.07,overcast clouds
463,Havelock,US,34.8791,-76.9013,62.58,79,95,1.99,overcast clouds
464,Providencia,MX,28.7167,-111.5833,85.21,30,0,11.52,clear sky
465,Omsukchan,RU,62.5333,155.8,-33.86,99,65,3.76,broken clouds
466,Youkounkoun,GN,12.5333,-13.1333,79.29,19,70,5.57,broken clouds
467,Grand Gaube,MU,-20.0064,57.6608,78.39,69,7,5.99,clear sky
468,Nadvoitsy,RU,63.8667,34.3167,5.65,96,52,4.81,broken clouds
469,Caohai,CN,26.8661,104.2841,37.54,91,4,3.22,clear sky
470,Green River,US,41.5286,-109.4662,48.15,42,75,26.31,broken clouds
471,Batagay-Alyta,RU,67.8006,130.4114,-20.09,98,100,2.62,overcast clouds
472,Tessalit,ML,20.1986,1.0114,66.69,16,66,8.55,broken clouds
473,Severo-Yeniseyskiy,RU,60.3725,93.0408,8.76,96,100,2.8,light snow
474,Kui Buri,TH,12.0828,99.8543,65.7,76,28,7.99,scattered clouds
475,Cahokia,US,38.5709,-90.1901,63.05,81,1,8.05,clear sky
476,Wilkie,CA,52.4168,-108.7014,-5.12,77,96,12.35,overcast clouds
477,Beyneu,KZ,45.3167,55.2,35.98,74,100,9.95,overcast clouds
478,Lomovka,RU,53.9194,58.3672,25.72,95,100,2.24,light snow
479,Pacific Grove,US,36.6177,-121.9166,74.3,81,1,5.99,haze
480,Topolobampo,MX,25.6,-109.05,78.71,41,75,12.66,smoke
481,Gladstone,AU,-23.85,151.25,78.73,65,86,11.5,overcast clouds
482,Fare,PF,-16.7,-151.0167,81.3,66,62,18.41,broken clouds
483,Kilindoni,TZ,-7.9139,39.6668,79.43,80,91,5.99,overcast clouds
484,Kasiri,SL,8.9412,-13.1148,82.58,82,39,4.52,scattered clouds
485,Pimentel,PE,-6.8367,-79.9342,70.09,73,0,20.71,clear sky
486,Alofi,NU,-19.0595,-169.9187,80.49,78,78,19.57,light rain
487,Granada,ES,37.25,-3.25,41.45,55,8,5.39,clear sky
488,Bollnas,SE,61.3482,16.3946,15.39,95,100,3.27,overcast clouds
489,Ndele,CF,8.4109,20.6473,82.27,25,99,4.52,overcast clouds
490,Chinchani,IN,19.8667,72.7,73.26,72,0,4.61,clear sky
491,Sompeta,IN,18.9333,84.6,73.22,88,90,3.36,overcast clouds
492,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,45,20,26.46,few clouds
493,Bathsheba,BB,13.2167,-59.5167,81.21,69,75,20.71,broken clouds
494,Siguiri,GN,11.6667,-9.5,75.92,19,16,2.95,few clouds
495,Fuerte,PH,17.5381,120.3644,77.11,71,99,5.57,overcast clouds
496,Tazovskiy,RU,67.4667,78.7,-13.59,87,68,15.55,broken clouds
497,Banfora,BF,10.6333,-4.7667,79.23,14,3,5.1,clear sky
498,Marsassoum,SN,12.8275,-15.9806,73.49,34,90,1.43,overcast clouds
499,Balikpapan,ID,-1.2675,116.8289,77.99,89,40,5.75,moderate rain
500,Cozumel,MX,20.5083,-86.9458,82.47,77,40,8.99,scattered clouds
501,San Cristobal,VE,7.7669,-72.225,77.18,74,75,2.01,broken clouds
502,Lixourion,GR,38.2019,20.4314,60.85,75,78,21.39,broken clouds
503,Maneadero,MX,31.7167,-116.5667,71.19,80,1,3.0,clear sky
504,Iaciara,BR,-14.0958,-46.6317,71.33,86,53,1.88,broken clouds
505,Demidov,RU,55.2706,31.515,21.63,98,100,3.13,overcast clouds
506,Norrtalje,SE,59.758,18.705,21.02,77,54,4.97,broken clouds
507,Sarangani,PH,5.4033,125.4636,81.99,77,61,10.45,broken clouds
508,Dajal,PK,29.5577,70.3762,59.56,30,0,5.86,clear sky
509,Reitz,ZA,-27.8014,28.4273,55.99,98,100,4.45,light rain
510,Zhuhai,CN,22.2769,113.5678,64.06,63,0,14.97,clear sky
511,Palu,ID,-0.8917,119.8707,77.9,86,67,2.08,broken clouds
512,Usinsk,RU,65.9939,57.5281,1.45,97,96,8.05,overcast clouds
513,Saint-Paul,RE,-21.0096,55.2707,77.09,81,31,3.76,scattered clouds
514,Kampong Cham,KH,11.9934,105.4635,66.7,89,85,9.69,overcast clouds
515,Hami,CN,42.8,93.45,29.12,52,99,5.37,overcast clouds
516,Bom Jesus Da Lapa,BR,-13.255,-43.4181,73.9,80,60,5.35,broken clouds
517,Havre-Saint-Pierre,CA,50.2334,-63.5986,23.59,63,40,12.66,scattered clouds
518,Mulege,MX,26.8833,-111.9833,75.54,35,1,10.85,clear sky
519,Clyde River,CA,70.4692,-68.5914,10.63,85,100,29.93,light snow
520,Halkirk,CA,52.2834,-112.1518,2.77,84,49,7.72,scattered clouds
521,Jiuquan,CN,39.7432,98.5174,23.56,57,17,4.79,few clouds
522,Shahr-E Babak,IR,30.1165,55.1186,46.0,39,75,7.52,broken clouds
523,Panacan,PH,9.2463,118.4082,78.19,79,24,10.83,few clouds
524,Shakawe,BW,-18.3667,21.85,72.36,65,100,6.91,overcast clouds
525,Jiazi,CN,22.8779,116.067,57.13,65,19,8.93,few clouds
526,Pilot Butte,CA,50.4668,-104.4178,2.66,74,75,16.11,broken clouds
527,Shimoda,JP,34.6667,138.95,49.1,83,100,16.11,light rain
528,Benjamin Constant,BR,-4.3831,-70.0311,82.53,74,40,2.3,scattered clouds
529,Barroquinha,BR,-3.0189,-41.1361,80.8,76,54,8.05,broken clouds
530,Labuhan,ID,-6.8844,112.2051,78.49,80,100,6.38,overcast clouds
531,Bowen,AU,-20.0167,148.2333,84.42,59,15,15.86,few clouds
532,Hopkins,US,37.3334,-87.55,67.23,89,44,17.54,scattered clouds
533,Berdigestyakh,RU,62.0989,126.6992,-8.16,91,100,8.19,overcast clouds
534,Raton,US,36.9034,-104.4391,68.61,6,1,12.66,clear sky
535,Coahuayana,MX,18.7333,-103.6833,90.88,65,97,3.56,overcast clouds
536,Geraldton,AU,-28.7667,114.6,64.81,82,1,8.05,clear sky
537,Cheremukhovo,RU,60.3484,59.9851,-2.65,98,100,3.06,light snow
538,Opuwo,NA,-18.0607,13.84,67.37,25,0,2.15,clear sky
539,Kovrov,RU,56.3572,41.3192,17.08,93,99,5.39,overcast clouds
540,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,82.76,41,5,5.97,clear sky
541,Teguldet,RU,57.3064,88.1667,31.5,92,100,13.44,overcast clouds
542,Papagaios,BR,-19.4492,-44.7478,71.17,73,33,2.33,scattered clouds
543,Synya,RU,65.3718,58.0387,-1.39,97,99,3.42,overcast clouds
544,Lapeer,US,43.0514,-83.3188,35.51,93,90,9.22,light rain
545,Mahina,PF,-17.5065,-149.489,85.77,62,40,19.57,scattered clouds
546,Pareora,NZ,-44.4871,171.2132,54.18,83,100,7.16,overcast clouds
547,Carballo,ES,43.213,-8.691,51.49,93,79,3.02,broken clouds
548,Pindiga,NG,9.9833,10.9333,76.08,25,52,9.48,broken clouds
549,Souillac,MU,-20.5167,57.5167,78.37,78,75,9.22,broken clouds
550,Chirongui,YT,-12.9319,45.1483,80.53,77,14,5.99,few clouds
551,Caravelas,BR,-17.7125,-39.2481,74.43,87,0,5.01,clear sky
552,Botou,CN,38.0667,116.5667,40.91,40,89,11.79,overcast clouds
553,Myski,RU,53.709,87.8014,15.8,98,89,3.47,overcast clouds
554,Nedjo,ET,9.5046,35.5019,59.22,43,4,1.86,clear sky
555,Nikki,BJ,9.9401,3.2108,77.83,25,99,2.33,overcast clouds
556,Huesca,ES,42.1362,-0.4087,38.97,89,0,13.0,clear sky
557,Chapleau,CA,47.8405,-83.4034,15.89,92,75,8.05,broken clouds
558,Wangqing,CN,43.3218,129.7634,18.09,90,17,1.95,few clouds
559,Rognan,NO,67.0953,15.3878,14.88,82,2,10.51,clear sky
560,Son La,VN,21.3167,103.9,48.92,82,14,1.77,few clouds
561,Vertientes,CU,21.2594,-78.1464,77.61,84,100,6.53,moderate rain
562,Tabas,IR,33.5959,56.9244,50.29,34,64,1.66,broken clouds
563,Tura,IN,25.5198,90.2201,66.34,81,100,2.53,overcast clouds
564,Lufilufi,WS,-13.8745,-171.5986,87.58,75,23,8.81,few clouds
565,Rudbar,AF,30.15,62.6,50.45,49,0,4.85,clear sky
566,Salinopolis,BR,-0.6136,-47.3561,79.83,85,27,11.68,scattered clouds
567,Oranjemund,NA,-28.55,16.4333,61.86,90,37,7.0,scattered clouds
568,Gayny,RU,60.3071,54.3241,-11.92,100,90,3.83,overcast clouds
569,Maniitsoq,GL,65.4167,-52.9,26.24,76,100,32.35,light snow
570,Orocue,CO,4.7912,-71.3354,81.36,64,92,5.93,overcast clouds
571,Kohlu,PK,29.8962,69.252,45.82,41,3,2.55,clear sky
572,Algiers,DZ,36.7525,3.042,55.22,54,40,25.32,thunderstorm
573,Najran,SA,17.4924,44.1277,54.25,38,0,1.48,clear sky
574,Adrar,MR,20.5022,-10.0711,61.5,13,100,10.47,overcast clouds
575,Sinegorye,RU,62.0788,150.477,-30.48,80,11,3.85,few clouds
576,Nahuizalco,SV,13.7775,-89.7367,89.44,61,0,2.71,clear sky
577,Burns Lake,CA,54.2331,-125.7533,11.62,61,100,1.12,overcast clouds
578,Sur,OM,22.5667,59.5289,72.28,72,0,4.72,clear sky
579,Nalut,LY,30.3333,10.85,46.78,36,0,9.66,clear sky
580,Dingle,PH,10.9995,122.6711,73.22,89,40,6.87,scattered clouds
581,Palmer,US,42.1584,-72.3287,39.47,59,75,5.75,broken clouds
582,Aransas Pass,US,27.9095,-97.15,78.89,90,1,10.0,clear sky
583,Nagar Karnul,IN,16.4821,78.3247,69.21,67,8,6.24,clear sky
584,Tacna,PE,-18.0056,-70.2483,64.6,72,75,9.22,broken clouds
585,Portland,US,45.5234,-122.6762,48.51,79,75,1.01,broken clouds
586,Chadiza,ZM,-14.0678,32.4392,71.35,51,6,2.46,clear sky
587,Kavaratti,IN,10.5669,72.642,80.69,72,60,12.48,broken clouds
588,Ituango,CO,7.1712,-75.764,64.63,99,100,1.99,overcast clouds
589,Wanlaweyn,SO,2.6185,44.8938,75.63,77,20,7.9,few clouds
590,San Vicente,AR,-26.6167,-54.1333,75.34,50,18,2.51,few clouds
591,Odweyne,SO,9.4092,45.064,61.72,56,10,2.82,clear sky
592,Traralgon,AU,-38.1833,146.5333,72.91,47,86,2.66,overcast clouds
593,Genhe,CN,50.7833,121.5167,-0.76,98,94,3.89,overcast clouds
594,Ostersund,SE,63.1792,14.6357,10.85,79,90,9.22,overcast clouds
595,Brae,GB,60.3964,-1.353,40.91,62,78,8.14,broken clouds
596,Almeirim,BR,-1.5233,-52.5817,77.4,85,93,3.24,moderate rain
597,Awjilah,LY,29.1081,21.2869,57.27,60,0,6.62,clear sky
598,Kristinehamn,SE,59.3098,14.1081,18.5,88,46,7.87,scattered clouds
599,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,31.33,79,21,17.38,few clouds
600,Jizan,SA,17.3333,42.6667,77.94,71,0,2.55,clear sky
601,Hofn,IS,64.2539,-15.2082,41.11,95,100,30.89,heavy intensity rain
602,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,59,75,8.95,broken clouds
603,Tartagal,AR,-22.5164,-63.8013,68.65,90,100,4.85,overcast clouds
604,Requena,ES,39.4883,-1.1004,44.17,68,28,12.35,scattered clouds
605,Iralaya,HN,15.0,-83.2333,78.31,86,11,7.96,few clouds
606,Casper,US,42.8666,-106.3131,20.71,81,90,8.01,light snow
607,Dovbysh,UA,50.3733,27.9874,29.73,96,99,5.14,overcast clouds
608,Reconquista,AR,-29.15,-59.65,82.02,42,12,8.03,few clouds
609,Vao,NC,-22.6667,167.4833,76.24,81,100,16.89,overcast clouds
610,Andenes,NO,69.3143,16.1194,22.98,74,90,12.66,overcast clouds
611,Karup,DK,56.3067,9.1684,30.78,86,75,10.36,broken clouds
612,Kedrovyy,RU,56.1667,91.8167,28.87,87,99,12.08,overcast clouds
613,Port Macquarie,AU,-31.4333,152.9167,68.9,69,99,6.2,overcast clouds
614,Namibe,AO,-15.1961,12.1522,72.28,62,4,6.42,clear sky
615,Hastings,GB,50.8552,0.5729,43.92,80,73,19.66,broken clouds
616,Broome,US,42.2506,-75.833,41.0,60,90,1.99,overcast clouds
617,Pringsewu,ID,-5.3582,104.9744,72.91,97,100,1.12,overcast clouds
618,Sarkand,KZ,45.41,79.9186,36.72,74,100,3.85,light rain
619,Along,IN,28.1667,94.7667,56.08,85,74,1.57,broken clouds
620,Oistins,BB,13.0667,-59.5333,80.69,69,75,20.71,broken clouds
621,Cascais,PT,38.6979,-9.4215,56.52,69,8,1.01,clear sky
622,Iranshahr,IR,27.2025,60.6848,59.14,37,22,2.89,few clouds
623,Orlik,RU,52.5178,99.825,-2.74,88,62,2.37,broken clouds
624,Sokoni,TZ,-6.4333,39.55,79.02,81,71,6.51,moderate rain
625,Bure,ET,10.7,37.0667,57.07,46,2,5.37,clear sky
626,Willowmore,ZA,-33.2926,23.4895,60.1,79,89,6.17,light rain
627,Pueblo Nuevo,MX,23.3833,-105.3833,62.78,38,62,5.26,broken clouds
628,Rizal,PH,15.7118,121.1061,68.14,84,84,4.21,broken clouds
629,Bang Saphan,TH,11.2126,99.5117,69.75,78,34,7.54,scattered clouds
630,Terralba,IT,39.7192,8.6392,45.01,82,95,13.33,moderate rain
631,Arman,RU,59.7,150.1667,-14.35,92,26,6.29,scattered clouds
632,Khasan,RU,42.4308,130.6434,27.45,72,2,4.81,clear sky
633,Leglise,BE,49.7999,5.5365,35.35,98,100,2.82,overcast clouds
634,Verkhnyaya Inta,RU,65.9811,60.3094,-1.07,97,99,9.15,overcast clouds
635,Pitea,SE,65.3172,21.4794,-5.71,97,41,3.76,scattered clouds
636,Qingyuan,CN,23.7,113.0333,53.58,64,11,5.5,few clouds
637,Gondanglegi,ID,-7.7479,112.0132,75.7,90,100,6.35,overcast clouds
638,Semirom,IR,31.4167,51.5667,36.03,29,91,4.68,overcast clouds
639,Kirksville,US,40.1948,-92.5833,60.12,72,90,3.0,overcast clouds
640,Rio Gallegos,AR,-51.6226,-69.2181,64.45,16,20,28.77,few clouds
641,Bonavista,CA,48.6499,-53.1147,33.12,63,94,17.43,overcast clouds
642,Tiarei,PF,-17.5333,-149.3333,86.02,74,68,16.06,broken clouds
643,San Pedro De Ycuamandiyu,PY,-24.0917,-57.0764,84.22,44,44,3.11,scattered clouds
644,Waltershausen,DE,50.9,10.5667,35.46,93,68,1.66,broken clouds
645,Xinqing,CN,48.2333,129.5,13.01,99,87,4.29,overcast clouds
646,Camabatela,AO,-8.1881,15.375,62.73,97,100,2.15,light rain
647,Okhotsk,RU,59.3833,143.3,-12.73,88,19,12.37,few clouds
648,Havre,FR,49.5833,0.3333,46.17,71,75,20.71,broken clouds
649,Ilhabela,BR,-23.7781,-45.3581,72.95,92,83,7.99,broken clouds
650,Antalaha,MG,-14.9003,50.2788,73.76,88,8,6.08,light rain
651,Gao,ML,16.6362,1.637,74.77,11,23,8.72,few clouds
652,Boden,SE,65.8252,21.6886,-5.8,100,58,2.84,broken clouds
653,Kronshagen,DE,54.3433,10.0994,39.09,87,90,21.85,overcast clouds
654,Zlobin,HR,45.2924,14.6541,36.7,69,20,16.11,few clouds
655,Roma,US,43.2128,-75.4557,40.12,77,90,6.91,overcast clouds
656,San Patricio,US,28.017,-97.5169,81.54,79,100,14.2,overcast clouds
657,Clarence Town,AU,-32.5833,151.7833,71.35,68,100,6.87,overcast clouds
658,Kieta,PG,-6.2167,155.6333,82.81,76,100,2.24,overcast clouds
659,Madimba,TZ,-10.4,40.3333,77.25,88,100,6.2,light rain
660,Suna,RU,57.8338,50.0588,-0.96,95,22,5.03,few clouds
661,Ternate,ID,0.8,127.4,82.24,79,94,9.73,overcast clouds
662,Nova Olinda Do Norte,BR,-3.8881,-59.0942,77.04,92,42,1.59,scattered clouds
663,Preobrazheniye,RU,42.9019,133.9064,39.72,95,91,6.33,overcast clouds
664,Mabaruma,GY,8.2,-59.7833,73.85,95,86,3.42,overcast clouds
665,Liku,ID,-0.7275,119.8922,77.67,81,85,1.12,light rain
